                   118|Urologic Diseases                                                                                                                                                                                       |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     118|COND        |ULD
                   111|Testicular Neoplasms                                                                                                                                                                                    |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     111|COND        |TNEO
                    48|Hematologic Diseases                                                                                                                                                                                    |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      48|COND        |HTD
                    64|Infectious Diseases                                                                                                                                                                                     |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      64|COND        |INFD
                    87|Osteoarthritis                                                                                                                                                                                          |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                       9|COND        |OART
                    12|Bacterial Infections                                                                                                                                                                                    |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      12|COND        |BACI
                    19|Cerebrovascular Disease                                                                                                                                                                                 |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      19|COND        |CVA
                   132|Asthma Adult                                                                                                                                                                                            |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      10|COND        |ASTA
                    93|Peptic Ulcer Disease                                                                                                                                                                                    |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      93|COND        |PUD
                    96|Pituitary Diseases                                                                                                                                                                                      |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      96|COND        |PITD
                    94|Peripheral Arterial Disease                                                                                                                                                                             |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      94|COND        |PAD
                   192|Ovarian Cancer Validation                                                                                                                                                                               |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     145|COND        |CAOV
                     7|Angioneurotic Edema                                                                                                                                                                                     |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                       7|COND        |ANE
                   113|Tics                                                                                                                                                                                                    |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     113|COND        |TICS
                   171|Underweight                                                                                                                                                                                             |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     126|COND        |UWGH
                   127|Geriatrics                                                                                                                                                                                              |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     127|COND        |GERI
                   167|Reproductive Issues                                                                                                                                                                                     |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      99|COND        |REPI
                   130|Accidental Falls                                                                                                                                                                                        |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     127|COND        |AF
                    47|Heart Failure                                                                                                                                                                                           |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      47|COND        |CHF
                    71|Leukemia/Lymphoma                                                                                                                                                                                       |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      71|COND        |CALE
                   100|Restless Legs Syndrome                                                                                                                                                                                  |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                     100|COND        |RLSY
                   147|Chronic Back or Neck Pain                                                                                                                                                                               |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      74|COND        |BACK
                    67|Ischemia                                                                                                                                                                                                |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      67|COND        |ISCH
                   158|Neuromuscular Disorders                                                                                                                                                                                 |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      84|COND        |NMDI
                    74|Low Back Pain                                                                                                                                                                                           |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      74|COND        |LBP
                    40|Frail Elderly                                                                                                                                                                                           |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      40|COND        |FREL
                    35|Eating Disorders                                                                                                                                                                                        |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      35|COND        |EDIS
                    81|Migraines                                                                                                                                                                                               |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      81|COND        |MIGR
                    97|Prostate Cancer                                                                                                                                                                                         |AHMADMIN                                          |2008-12-03 12:39:03|2020-10-09 17:18:32|ADMSTAGE                                          |                      97|COND        |CAPR
                   198|Lipid Disorders                                                                                                                                                                                         |AHMADMIN                                          |2009-03-23 14:07:09|2020-10-09 17:18:32|ADMSTAGE                                          |                      34|COND        |LPDIS
