                   117686|        12423|DM                                                |ADMSTAGE                      |2020-06-02 18:21:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14475|         5683|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14492|         5700|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                   117782|          876|DM                                                |ADMSTAGE                      |2020-06-02 18:21:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82044|         1174|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14494|         5707|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                     6761|         1383|DM                                                |AHMADMIN                      |2008-12-03 12:39:10.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14499|         5712|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    82939|         8124|DM                                                |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14464|         5672|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    92276|         1120|DM                                                |ADMSTAGE                      |2016-08-05 20:53:55.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20274|         1282|CCM                                               |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20235|         1277|DM                                                |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    20269|         1385|DM                                                |AHMADMIN                      |2011-07-14 19:54:20.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    81583|          405|CCM                                               |ADMSTAGE                      |2015-08-22 16:23:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    92583|         1171|DM                                                |ADMSTAGE                      |2016-08-05 20:53:55.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
                    14504|         5718|CE                                                |AHMADMIN                      |2011-04-09 09:24:19.000000                                                 |2020-10-09 17:19:20.000000                                                 |ADMSTAGE
